#{"t_start": 1655408526.9748297, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-74.763984,868,1154.710708
-86.344087,193,1156.062151
-89.421433,298,1156.411002
-57.645068,2000,1159.849246
-60.272231,2000,1163.16292
-89.518172,287,1163.492694
-84.946983,1491,1166.374182
-89.270963,262,1166.680456
-56.534378,2000,1170.069358
-116.983509,81,1170.169536
-94.704923,393,1170.621375
-43.296971,2000,1173.897275
-115.733999,78,1173.98337
-114.907554,75,1174.068012
-104.946568,49,1174.122725
-44.017454,2000,1177.333706
-103.866227,1329,1179.772843
-60.44508,2000,1183.208801
-114.999263,104,1183.332414
-58.366596,2000,1186.704641
-40.521953,2000,1190.122351
-93.559581,394,1190.597535
13.944204,2000,1193.912331
-59.269933,2000,1197.147396
-110.836103,125,1197.28889
-41.706593,2000,1200.544966
-44.54271,2000,1203.807255
-79.203964,975,1204.879697
3.953854,2000,1208.216635
-60.90921,2000,1211.516831
-103.086241,51,1211.580568
-59.489263,2000,1214.930909
-94.295647,390,1215.365157
-28.389099,2000,1218.579469
-43.111698,2000,1221.805192
-41.850539,2000,1225.033495
-91.335905,310,1225.391828
-41.076737,2000,1228.802559
-87.071926,174,1228.996878
-118.151716,832,1231.01838
-110.761601,826,1231.894705
-107.06066,67,1231.966085
-87.171283,188,1232.165423
-86.840733,184,1232.364622
-148.648625,1615,1235.212565
-90.61267,317,1235.577173
-110.704045,895,1237.708481
-60.605202,2000,1240.932386
-14.206165,2000,1244.101019
-42.205954,2000,1247.367567
-55.51403,2000,1250.739579
-39.621272,2000,1254.134281
-57.430733,2000,1257.509174
-43.266863,2000,1260.786239
-90.882109,311,1261.142099
-40.755097,2000,1264.445966
-58.237002,2000,1267.692817
-57.409471,2000,1270.941566
-124.632603,1174,1272.166579
-39.736132,2000,1275.413455
-98.462114,522,1277.064518
-96.797403,1900,1279.187556
-98.577372,561,1280.864023
-120.532405,137,1281.005508
-40.543526,2000,1284.29916
-89.502751,272,1284.607398
-40.004652,2000,1288.035097
-89.320133,257,1288.325096
-113.705461,1018,1290.494388
-57.82279,2000,1293.698651
-92.224833,355,1294.073318
-91.664356,325,1294.413091
-99.23067,1838,1297.690586
-37.518476,2000,1301.13144
-96.418816,1655,1304.080449
-53.901307,2000,1307.417953
-53.523863,2000,1309.491225
-53.890002,2000,1312.809597
-56.013068,2000,1316.15029
-101.504749,675,1317.978103
-22.105062,2000,1321.241116
-37.872043,2000,1324.612126
-8.587217,2000,1327.780098
-54.125757,2000,1330.982221
-99.293001,609,1331.648018
-107.077675,872,1332.555819
-53.307802,2000,1335.908931
-116.808095,133,1336.061675
-36.466581,2000,1339.566036
-33.66526,2000,1342.937406
-53.183127,2000,1346.093734
-94.526511,460,1347.686937
-54.602152,2000,1350.995659
-51.553155,2000,1354.155229
-53.865047,2000,1357.309448
-53.988348,2000,1360.550585
-94.892041,459,1361.079599
-96.365859,471,1361.595408
-53.690441,2000,1364.78665
-115.857665,105,1364.909073
-33.293787,2000,1368.263337
-100.001663,659,1368.944062
-97.352702,1811,1371.940265
-32.918924,2000,1375.254779
-35.111307,2000,1378.623993
2.06921,2000,1381.775894
-33.129163,2000,1385.294862
-90.901422,1668,1388.171685
-49.59174,2000,1391.481699
-92.762624,389,1391.892389
47.608382,2000,1395.036442
-109.098044,72,1395.117954
-54.722382,2000,1398.375302
-52.093449,2000,1401.534177
-54.605813,2000,1404.701436
-80.053679,983,1405.710303
-89.904737,287,1407.205752
-51.155682,2000,1410.526657
-95.253237,426,1410.978591
-53.802417,2000,1414.248181
-51.642366,2000,1417.513108
-97.106535,118,1417.638401
-66.119628,631,1418.339116
-89.749699,294,1418.682451
-87.860788,246,1418.963674
-91.226208,342,1420.480303
-38.737091,2000,1423.906548
-35.080899,2000,1427.09833
-87.910296,275,1427.399154
-36.597855,2000,1430.60927
-37.587455,2000,1434.042324
-87.890409,890,1435.046547
-38.518378,2000,1438.416619
-53.093372,2000,1441.681177
-6.20977,2000,1444.946126
2.914957,2000,1448.263855
-34.43055,2000,1451.507826
-87.890146,191,1451.714053
-52.724249,2000,1455.02024
-52.78719,2000,1458.439782
-87.73782,263,1458.738719
-49.565815,2000,1462.138793
-97.156191,1241,1464.65562
-48.690719,2000,1467.997211
-53.68775,2000,1471.296102
-88.328296,259,1471.592278
-33.445727,2000,1474.768597
-48.688867,2000,1478.051625
-88.482175,220,1478.281148
-53.079405,2000,1481.581614
-87.223425,233,1481.838109
-32.750981,2000,1485.10868
-24.142692,2000,1488.311146
-49.81833,2000,1491.506261
-85.77975,896,1492.425201
-91.352667,327,1492.766813
-55.053361,2000,1496.103101
-89.000379,298,1497.624993
-88.177417,241,1497.90557
-65.30411,1062,1499.097938
69.246361,2000,1502.408334
-53.822298,2000,1505.756783
-100.181045,664,1506.484192
-28.494152,2000,1509.856112
-54.558292,2000,1513.290089
-49.997263,2000,1516.712651
-88.564092,263,1518.131829
-48.995275,2000,1520.236027
